id,name,producer,type_id,grape_variety,region_id,created_at,update_at,image
,ソーヴィニヨン 2022,イル・ヴェイ,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/176631405_th.jpg?cmsp_timestamp=20230816151153
,ピノ・グリージョ 2022,イル・ヴェイ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177121230_th.jpg?cmsp_timestamp=20230915155907
,マルヴァジーア 2022,イル・ヴェイ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177121215_th.jpg?cmsp_timestamp=20230915155806
,ルヴィド・ビアンコ 2021,ルヴィド,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177040962_th.jpg?cmsp_timestamp=20230910152157
,ピノ・グリージョ 2016,ラ・カステッラーダ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177005066_th.jpg?cmsp_timestamp=20230909163419
,シャルドネ 2016,ラ・カステッラーダ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177004942_th.jpg?cmsp_timestamp=20230909162737
,フリウラーノ 2016,ラ・カステッラーダ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177004907_th.jpg?cmsp_timestamp=20230909162510
,リボッラ・ジャッラ 2016,ラ・カステッラーダ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176996274_th.jpg?cmsp_timestamp=20230908230247
,ビアンコ・デッラ・カステッラーダ 2016,ラ・カステッラーダ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176996229_th.jpg?cmsp_timestamp=20230908225238
,ディグディン 2021,エムケー・ワイン,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/176975086_th.jpg?cmsp_timestamp=20230907170357
,ガルガーネガ 2021,ダニエーレ・ポルティナーリ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176945749_th.jpg?cmsp_timestamp=20230906164613
,ピエトロビアンコ 2020,ダニエーレ・ポルティナーリ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176945667_th.jpg?cmsp_timestamp=20230906164433
,アーダ・リヴァー・シャルドネ 2021,パトリック・サリヴァン,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/176900012_th.jpg?cmsp_timestamp=20230902182423
,ヴェルメントゥッツォ 2022,イ・ヴィニ・ディ・ジョヴァンニ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176841422_th.jpg?cmsp_timestamp=20230830173857
,サル・ド・ネ 2022,ヴィーニ・サンタ・コロンバ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176822658_th.jpg?cmsp_timestamp=20230829161546
,ガガ 2022,ヴィーニ・サンタ・コロンバ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176821859_th.jpg?cmsp_timestamp=20230829154031
,ピーコ 2020,ラ・ビアンカーラ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176788383_th.jpg?cmsp_timestamp=20230826155351
,サッサイア・エディツィオーネ・スペチャーレ 2021,ラ・ビアンカーラ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176788336_th.jpg?cmsp_timestamp=20230826155044
,サッサイア 2021,ラ・ビアンカーラ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176788307_th.jpg?cmsp_timestamp=20230826155136
,テルメ・デ・グイウ・ラ・プラナ 5 2021,メンダール,3,25,15,,,https://img07.shop-pro.jp/PA01398/155/product/176781827_th.jpg?cmsp_timestamp=20230826002353
,テルメ・デ・グイウ・ラ・プラナ 2 2021,メンダール,3,25,15,,,https://img07.shop-pro.jp/PA01398/155/product/176781821_th.jpg?cmsp_timestamp=20230826002127
,テルメ・デ・グイウ 1 2021,メンダール,3,25,15,,,https://img07.shop-pro.jp/PA01398/155/product/176781817_th.jpg?cmsp_timestamp=20230826001748
,テルメ・デ・ラウレアーノ 2018,メンダール,3,25,15,,,https://img07.shop-pro.jp/PA01398/155/product/176781804_th.jpg?cmsp_timestamp=20230826004326
,ブルーウィット・スプリングス・シュナンブラン 2022,ヤウマ,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/176772620_th.jpg?cmsp_timestamp=20230825154017
,アルバート 2021,トラヴィス・タウゼント,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/176678921_th.jpg?cmsp_timestamp=20230818224600
,フォークス & ナイヴス 白 2020,ミラン・ネスタレッツ,3,25,17,,,https://img07.shop-pro.jp/PA01398/155/product/176671988_th.jpg?cmsp_timestamp=20230818162846
,チロル 2022,ファットリア・アル・フィオーレ,3,25,21,,,https://img07.shop-pro.jp/PA01398/155/product/176591604_th.jpg?cmsp_timestamp=20230812153752
,ヴァイス 2021,ヴァイングート・ヴァルドルフ,3,25,10,,,https://img07.shop-pro.jp/PA01398/155/product/173791080_th.jpg?cmsp_timestamp=20230328121616
,リースリング 2020,レ・フュナンビュール,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/173280620_th.jpg?cmsp_timestamp=20230224154031
,プレカリアス・ビアンコ 2021,ラッタ,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/176454431_th.jpg?cmsp_timestamp=20230804124333
,ヒルズ・シャルドネ 2021,バスケットレンジ・ワイン,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/176369169_th.jpg?cmsp_timestamp=20230802185827
,フラワーズ・セミヨン 2022,ビンク,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/176168384_th.jpg?cmsp_timestamp=20230726161045
,ターボ・リースリング 2022,ビンク,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/176168310_th.jpg?cmsp_timestamp=20230726155346
,エッセピ・セッサントット・ビアンコ 2022,アリアンナ・オッキピンティ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/176112483_th.jpg?cmsp_timestamp=20230725120003
,ゲヴュルツトラミネール 2020,クラインクネヒト,3,25,2,,,https://img07.shop-pro.jp/PA01398/155/product/166622524_th.jpg?cmsp_timestamp=20220212122539
,リースリング 2021,クラインクネヒト,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/170677340_th.jpg?cmsp_timestamp=20221002173329
,シャルドネ 2021,ジュリアン・ルナール,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/174507617_th.jpg?cmsp_timestamp=20230503113626
,ミュラー・トゥルガウ 2021,ジュリアン・ルナール,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/175786085_th.jpg?cmsp_timestamp=20230714162554
,ヴァイスブルグンダー 2021,ジュリアン・ルナール,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/175785803_th.jpg?cmsp_timestamp=20230714161044
,リースリング 2021,ジュリアン・ルナール,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/170677340_th.jpg?cmsp_timestamp=20221002173329
,ビアンコ・コネスタビル 2021,ダニーロ・マルクッチ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/175728502_th.jpg?cmsp_timestamp=20230711175841
,パッシート・モンテ・ソーリオ 2015 (500ml) (白甘口),ラ・ビアンカーラ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/175690195_th.jpg?cmsp_timestamp=20230709140952
,ピーコ・マグナム 2020 (1500ml),ラ・ビアンカーラ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/175690193_th.jpg?cmsp_timestamp=20230709124847
,ピーコ・クリュ 2021 (3本セット),ラ・ビアンカーラ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/175690184_th.jpg?cmsp_timestamp=20230709124701
